Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
01-03-2021 00:00,EST,CAPITL,61757,34.01,0.15,-30.13,1
01-03-2021 01:00,EST,CAPITL,61757,31.36,0.15,-27.28,1
01-03-2021 02:00,EST,CAPITL,61757,30.86,0.16,-26.6,1
01-03-2021 03:00,EST,CAPITL,61757,30.66,0.16,-26.34,1
01-03-2021 04:00,EST,CAPITL,61757,30.56,0.21,-25.01,1
01-03-2021 05:00,EST,CAPITL,61757,32.54,0.32,-24.83,1
01-03-2021 06:00,EST,CAPITL,61757,41.54,0.41,-28.81,1
01-03-2021 07:00,EST,CAPITL,61757,39.45,0.66,-20.93,1
01-03-2021 08:00,EST,CAPITL,61757,36.06,0.82,-14.89,1
01-03-2021 09:00,EST,CAPITL,61757,30.34,1.18,-4.66,1
01-03-2021 10:00,EST,CAPITL,61757,31.91,1.11,-7.12,1
01-03-2021 11:00,EST,CAPITL,61757,30.15,1.15,-4.58,1
01-03-2021 12:00,EST,CAPITL,61757,30.19,0.83,-7.93,1
01-03-2021 13:00,EST,CAPITL,61757,31.31,0.62,-13.94,1
01-03-2021 14:00,EST,CAPITL,61757,29.35,0.62,-12.83,1
01-03-2021 15:00,EST,CAPITL,61757,29.43,0.64,-12.81,1
01-03-2021 16:00,EST,CAPITL,61757,30.69,0.78,-10.32,1
01-03-2021 17:00,EST,CAPITL,61757,44.11,0.92,-19.56,1
01-03-2021 18:00,EST,CAPITL,61757,38.32,2.27,0,1
01-03-2021 19:00,EST,CAPITL,61757,33.47,2.1,-2.55,1
01-03-2021 20:00,EST,CAPITL,61757,29.49,1.87,-4.82,1
01-03-2021 21:00,EST,CAPITL,61757,26.85,1.75,-3.26,1
01-03-2021 22:00,EST,CAPITL,61757,26.66,1.61,-4.13,1
01-03-2021 23:00,EST,CAPITL,61757,30.96,0.95,-15.98,1
02-03-2021 00:00,EST,CAPITL,61757,40.14,0.52,-33.02,1
02-03-2021 01:00,EST,CAPITL,61757,37.79,0.51,-30.77,1
02-03-2021 02:00,EST,CAPITL,61757,35.6,0.6,-27.47,1
02-03-2021 03:00,EST,CAPITL,61757,34.82,0.6,-26.67,1
02-03-2021 04:00,EST,CAPITL,61757,52.87,0.11,-50.54,1
02-03-2021 05:00,EST,CAPITL,61757,50.5,0.22,-45.61,1
02-03-2021 06:00,EST,CAPITL,61757,63.45,0.48,-55.51,1
02-03-2021 07:00,EST,CAPITL,61757,65.75,0.51,-56.59,1
02-03-2021 08:00,EST,CAPITL,61757,62.89,0.62,-51.48,1
02-03-2021 09:00,EST,CAPITL,61757,53.84,0.63,-42.57,1
02-03-2021 10:00,EST,CAPITL,61757,53.5,0.6,-42.26,1
