Eastern Date Hour,Eastern Date Hour,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
01-03-2023 00:00,EST,CAPITL,61757,42.03,1.31,-20.86,1
01-03-2023 01:00,EST,CAPITL,61757,42.49,1.35,-20.63,1
01-03-2023 02:00,EST,CAPITL,61757,30.77,1.33,-8.92,1
01-03-2023 03:00,EST,CAPITL,61757,30.36,1.5,-6.19,1
01-03-2023 04:00,EST,CAPITL,61757,30.55,1.31,-9.08,1
01-03-2023 05:00,EST,CAPITL,61757,33.66,1.48,-9.33,1
01-03-2023 06:00,EST,CAPITL,61757,56.29,1.57,-31.87,1
01-03-2023 07:00,EST,CAPITL,61757,63.33,1.24,-43.26,1
01-03-2023 08:00,EST,CAPITL,61757,74.68,1.54,-49.03,1
01-03-2023 09:00,EST,CAPITL,61757,49.67,1.2,-29.67,1
01-03-2023 10:00,EST,CAPITL,61757,42.77,1.46,-18.56,1
01-03-2023 11:00,EST,CAPITL,61757,44.65,1.26,-23.94,1
01-03-2023 12:00,EST,CAPITL,61757,40.11,1.12,-21.24,1
01-03-2023 13:00,EST,CAPITL,61757,38.3,1.14,-19.29,1
01-03-2023 14:00,EST,CAPITL,61757,37.92,0.93,-21.98,1
01-03-2023 15:00,EST,CAPITL,61757,45.33,0.74,-33.24,1
01-03-2023 16:00,EST,CAPITL,61757,48.69,0.68,-37.22,1
01-03-2023 17:00,EST,CAPITL,61757,62.43,0.61,-52.42,1
01-03-2023 18:00,EST,CAPITL,61757,67.56,1.38,-45.52,1
01-03-2023 19:00,EST,CAPITL,61757,52.79,0.91,-38.14,1
01-03-2023 20:00,EST,CAPITL,61757,45.92,0.81,-32,1
01-03-2023 21:00,EST,CAPITL,61757,43.71,0.65,-32.37,1
01-03-2023 22:00,EST,CAPITL,61757,39.75,0.63,-28.81,1
01-03-2023 23:00,EST,CAPITL,61757,35.66,0.68,-22.85,1
02-03-2023 00:00,EST,CAPITL,61757,29,1.12,-8.96,1
02-03-2023 01:00,EST,CAPITL,61757,27.49,1.08,-7.48,1
02-03-2023 02:00,EST,CAPITL,61757,26.61,1.12,-6.57,1
02-03-2023 03:00,EST,CAPITL,61757,26.21,1.1,-6.19,1
02-03-2023 04:00,EST,CAPITL,61757,26.64,1.27,-4.97,1
02-03-2023 05:00,EST,CAPITL,61757,27.58,1.5,-3.37,1
02-03-2023 06:00,EST,CAPITL,61757,44.81,1.72,-18.51,1
02-03-2023 07:00,EST,CAPITL,61757,55.83,1.63,-30.3,1
02-03-2023 08:00,EST,CAPITL,61757,53.97,1.57,-28.97,1
02-03-2023 09:00,EST,CAPITL,61757,51.14,1.64,-25.07,1
02-03-2023 10:00,EST,CAPITL,61757,41.5,1.66,-15.73,1
02-03-2023 11:00,EST,CAPITL,61757,39.17,1.52,-15.32,1
02-03-2023 12:00,EST,CAPITL,61757,35.49,1.49,-12.13,1
02-03-2023 13:00,EST,CAPITL,61757,29.59,1.39,-7.08,1
02-03-2023 14:00,EST,CAPITL,61757,30.12,1.25,-9.69,1
02-03-2023 15:00,EST,CAPITL,61757,31.08,1.18,-11.22,1
02-03-2023 16:00,EST,CAPITL,61757,34.53,1.2,-14.66,1
02-03-2023 17:00,EST,CAPITL,61757,53.43,1.75,-26.67,1
02-03-2023 18:00,EST,CAPITL,61757,60.53,1.79,-33.48,1
02-03-2023 19:00,EST,CAPITL,61757,49.48,1.78,-22.6,1
02-03-2023 20:00,EST,CAPITL,61757,42.2,1.71,-16.01,1
02-03-2023 21:00,EST,CAPITL,61757,32.07,1.61,-6.74,1
02-03-2023 22:00,EST,CAPITL,61757,29.62,1.57,-5.02,1
02-03-2023 23:00,EST,CAPITL,61757,28.37,1.59,-3.69,1
03-03-2023 00:00,EST,CAPITL,61757,27.03,1.62,-2.64,1
03-03-2023 01:00,EST,CAPITL,61757,25.1,1.65,-0.17,1
03-03-2023 02:00,EST,CAPITL,61757,24.81,1.62,-0.42,1
03-03-2023 03:00,EST,CAPITL,61757,24.96,1.62,-0.6,1
03-03-2023 04:00,EST,CAPITL,61757,25.83,1.69,-0.71,1
03-03-2023 05:00,EST,CAPITL,61757,27.3,1.8,-0.54,1
03-03-2023 06:00,EST,CAPITL,61757,34.01,2.31,0,1
03-03-2023 07:00,EST,CAPITL,61757,39.64,2.17,-6.89,1
03-03-2023 08:00,EST,CAPITL,61757,38.08,2.01,-7.4,1
