Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
01-03-2024 00:00,EST,CAPITL,61757,25.15,0.85,0,1
01-03-2024 01:00,EST,CAPITL,61757,23.5,0.79,0,1
01-03-2024 02:00,EST,CAPITL,61757,23.26,0.77,0,1
01-03-2024 03:00,EST,CAPITL,61757,23.48,0.75,0,1
01-03-2024 04:00,EST,CAPITL,61757,24.9,0.82,0,1
01-03-2024 05:00,EST,CAPITL,61757,27.85,0.97,0,1
01-03-2024 06:00,EST,CAPITL,61757,37.21,1.67,0,1
01-03-2024 07:00,EST,CAPITL,61757,40.16,1.88,0,1
01-03-2024 08:00,EST,CAPITL,61757,29.84,1.07,0,1
01-03-2024 09:00,EST,CAPITL,61757,24.5,0.64,0,1
01-03-2024 10:00,EST,CAPITL,61757,23.07,0.48,0,1
01-03-2024 11:00,EST,CAPITL,61757,20.42,0.44,0,1
01-03-2024 12:00,EST,CAPITL,61757,20.27,0.47,0,1
01-03-2024 13:00,EST,CAPITL,61757,19.91,0.49,0,1
01-03-2024 14:00,EST,CAPITL,61757,19.84,0.52,0,1
01-03-2024 15:00,EST,CAPITL,61757,20.51,0.56,0,1
01-03-2024 16:00,EST,CAPITL,61757,24.27,0.82,0,1
01-03-2024 17:00,EST,CAPITL,61757,33.11,1.49,0,1
01-03-2024 18:00,EST,CAPITL,61757,36.75,1.85,0,1
01-03-2024 19:00,EST,CAPITL,61757,30.14,1.38,0,1
01-03-2024 20:00,EST,CAPITL,61757,30.17,1.3,0,1
01-03-2024 21:00,EST,CAPITL,61757,25.76,1.08,0,1
01-03-2024 22:00,EST,CAPITL,61757,22.27,0.83,0,1
01-03-2024 23:00,EST,CAPITL,61757,21.84,0.68,0,1
02-03-2024 00:00,EST,CAPITL,61757,24.3,0.89,0,1
02-03-2024 01:00,EST,CAPITL,61757,22.73,0.83,0,1
02-03-2024 02:00,EST,CAPITL,61757,21.49,0.75,0,1
02-03-2024 03:00,EST,CAPITL,61757,21.1,0.75,0,1
02-03-2024 04:00,EST,CAPITL,61757,21.8,0.78,0,1
02-03-2024 05:00,EST,CAPITL,61757,23.79,0.87,0,1
02-03-2024 06:00,EST,CAPITL,61757,24.27,0.96,0,1
02-03-2024 07:00,EST,CAPITL,61757,23.86,1,0,1
02-03-2024 08:00,EST,CAPITL,61757,25.01,1.08,0,1
02-03-2024 09:00,EST,CAPITL,61757,26.01,1.17,0,1
02-03-2024 10:00,EST,CAPITL,61757,26.98,1.28,0,1
02-03-2024 11:00,EST,CAPITL,61757,27.14,1.29,0,1
02-03-2024 12:00,EST,CAPITL,61757,26.37,1.21,0,1
02-03-2024 13:00,EST,CAPITL,61757,25.84,1.16,0,1
02-03-2024 14:00,EST,CAPITL,61757,25.55,1.15,0,1
02-03-2024 15:00,EST,CAPITL,61757,25.69,1.13,0,1
02-03-2024 16:00,EST,CAPITL,61757,26.75,1.18,0,1
