Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
3/24/2025 0:00,EDT,CAPITL,61757,39.92,1.5,0,1
3/24/2025 1:00,EDT,CAPITL,61757,38.41,1.41,0,1
3/24/2025 2:00,EDT,CAPITL,61757,36.75,1.38,0,1
3/24/2025 3:00,EDT,CAPITL,61757,35.93,1.38,0,1
3/24/2025 4:00,EDT,CAPITL,61757,37.57,1.34,0,1
3/24/2025 5:00,EDT,CAPITL,61757,43.1,1.7,0,1
3/24/2025 6:00,EDT,CAPITL,61757,53.99,2.08,0,1
3/24/2025 7:00,EDT,CAPITL,61757,61.63,2.66,0,1
3/24/2025 8:00,EDT,CAPITL,61757,56.79,2.55,0,1
3/24/2025 9:00,EDT,CAPITL,61757,52.34,2.2,0,1
3/24/2025 10:00,EDT,CAPITL,61757,52.09,2.1,0,1
3/24/2025 11:00,EDT,CAPITL,61757,50.95,2.14,0,1
3/24/2025 12:00,EDT,CAPITL,61757,46.14,1.94,0,1
3/24/2025 13:00,EDT,CAPITL,61757,44.45,1.87,0,1
3/24/2025 14:00,EDT,CAPITL,61757,42.92,1.69,0,1
3/24/2025 15:00,EDT,CAPITL,61757,42.63,1.68,0,1
3/24/2025 16:00,EDT,CAPITL,61757,43.16,1.7,0,1
3/24/2025 17:00,EDT,CAPITL,61757,50.46,1.94,0,1
3/24/2025 18:00,EDT,CAPITL,61757,56.78,2.39,0,1
3/24/2025 19:00,EDT,CAPITL,61757,62.7,2.7,0,1
3/24/2025 20:00,EDT,CAPITL,61757,58.12,2.61,0,1
3/24/2025 21:00,EDT,CAPITL,61757,47.66,2.05,0,1
3/24/2025 22:00,EDT,CAPITL,61757,42.45,1.91,0,1
3/24/2025 23:00,EDT,CAPITL,61757,41.97,1.88,0,1
3/25/2025 0:00,EDT,CAPITL,61757,40.99,1.77,0,1
3/25/2025 1:00,EDT,CAPITL,61757,38.91,1.57,0,1
3/25/2025 2:00,EDT,CAPITL,61757,37.42,1.4,0,1
3/25/2025 3:00,EDT,CAPITL,61757,37.24,1.4,0,1
3/25/2025 4:00,EDT,CAPITL,61757,37.91,1.49,0,1
3/25/2025 5:00,EDT,CAPITL,61757,42.38,1.83,0,1
3/25/2025 6:00,EDT,CAPITL,61757,55.97,2.41,0,1
3/25/2025 7:00,EDT,CAPITL,61757,64,2.99,0,1
3/25/2025 8:00,EDT,CAPITL,61757,56.76,2.5,0,1
3/25/2025 9:00,EDT,CAPITL,61757,42.88,1.69,0,1
3/25/2025 10:00,EDT,CAPITL,61757,40.46,1.52,0,1
3/25/2025 11:00,EDT,CAPITL,61757,38.72,1.42,0,1
3/25/2025 12:00,EDT,CAPITL,61757,36.27,1.29,0,1
3/25/2025 13:00,EDT,CAPITL,61757,36.22,1.26,0,1
3/25/2025 14:00,EDT,CAPITL,61757,34.96,1.25,0,1
3/25/2025 15:00,EDT,CAPITL,61757,35.76,1.34,0,1
3/25/2025 16:00,EDT,CAPITL,61757,39.15,1.61,0,1
3/25/2025 17:00,EDT,CAPITL,61757,45.82,2.02,0,1
3/25/2025 18:00,EDT,CAPITL,61757,57.04,2.77,0,1
3/25/2025 19:00,EDT,CAPITL,61757,66.32,3.04,0,1
3/25/2025 20:00,EDT,CAPITL,61757,62.68,2.76,0,1
3/25/2025 21:00,EDT,CAPITL,61757,50.72,2.23,0,1
3/25/2025 22:00,EDT,CAPITL,61757,44.75,1.8,0,1
3/25/2025 23:00,EDT,CAPITL,61757,42.27,1.67,0,1
3/26/2025 0:00,EDT,CAPITL,61757,41.66,1.41,0,1
3/26/2025 1:00,EDT,CAPITL,61757,40.17,1.32,0,1
3/26/2025 2:00,EDT,CAPITL,61757,39.43,1.26,0,1
3/26/2025 3:00,EDT,CAPITL,61757,39.23,1.11,0,1
3/26/2025 4:00,EDT,CAPITL,61757,40.15,1.17,0,1
3/26/2025 5:00,EDT,CAPITL,61757,43.88,1.4,0,1
3/26/2025 6:00,EDT,CAPITL,61757,57.88,2.17,0,1
3/26/2025 7:00,EDT,CAPITL,61757,67.29,2.46,0,1
3/26/2025 8:00,EDT,CAPITL,61757,57.1,1.88,0,1
3/26/2025 9:00,EDT,CAPITL,61757,44.07,1.53,0,1
3/26/2025 10:00,EDT,CAPITL,61757,40.46,1.14,0,1
3/26/2025 11:00,EDT,CAPITL,61757,37.52,1.16,0,1
3/26/2025 12:00,EDT,CAPITL,61757,37.2,1.08,0,1
3/26/2025 13:00,EDT,CAPITL,61757,37.36,1.05,0,1
3/26/2025 14:00,EDT,CAPITL,61757,36.34,1.13,0,1
3/26/2025 15:00,EDT,CAPITL,61757,36.74,1.17,0,1
3/26/2025 16:00,EDT,CAPITL,61757,39.77,1.31,0,1
3/26/2025 17:00,EDT,CAPITL,61757,47.09,1.63,0,1
3/26/2025 18:00,EDT,CAPITL,61757,55.8,2.15,0,1
3/26/2025 19:00,EDT,CAPITL,61757,68.11,2.62,0,1
3/26/2025 20:00,EDT,CAPITL,61757,64.12,2.4,0,1
3/26/2025 21:00,EDT,CAPITL,61757,55.13,2.02,0,1
3/26/2025 22:00,EDT,CAPITL,61757,46.39,1.66,0,1
3/26/2025 23:00,EDT,CAPITL,61757,44.26,1.37,0,1
3/27/2025 0:00,EDT,CAPITL,61757,40.82,1.38,0,1
3/27/2025 1:00,EDT,CAPITL,61757,39.3,1.36,0,1
3/27/2025 2:00,EDT,CAPITL,61757,38.06,1.21,0,1
3/27/2025 3:00,EDT,CAPITL,61757,39.03,1.25,0,1
3/27/2025 4:00,EDT,CAPITL,61757,39.31,1.36,0,1
3/27/2025 5:00,EDT,CAPITL,61757,44.5,1.67,0,1
3/27/2025 6:00,EDT,CAPITL,61757,66.23,2.55,0,1
